Influencer ID,Total Faces,Average Performance,Representative Face
hd-817135236672734,2,1.717983451,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-817135236672734.jpg
hd-816335920524988,0,0.7160897865,
hd-815391233916449,8,0.9177957941,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-815391233916449.jpg
hd-814072014151046,2,1.180560286,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-814072014151046.jpg
hd-813828049840959,6,0.08318303351,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-813828049840959.jpg
hd-811606650922029,12,1.726890067,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-811606650922029.jpg
hd-8111507755613955,0,0.9160400215,
hd-8100667816697710,5,0.1487682764,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-8100667816697710.jpg
hd-809480737932683,0,0.3826100584,
hd-808321904744283,0,1.573638844,
hd-808097524590260,8,1.798727837,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-808097524590260.jpg
hd-807800198130528,0,1.566296749,
hd-806751788307038,4,0.2536277381,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-806751788307038.jpg
hd-8057957437624799,12,1.702295069,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-8057957437624799.jpg
hd-803990118540094,3,1.023693612,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-803990118540094.jpg
hd-803897110603133,0,0.229751702,
hd-802443478544141,12,1.015506916,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-802443478544141.jpg
hd-8008073409211713,3,0.8045490404,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-8008073409211713.jpg
hd-7995631707140182,8,0.1441058572,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-7995631707140182.jpg
hd-797179088937277,7,0.4571222737,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-797179088937277.jpg
hd-797024995612413,8,1.339103855,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-797024995612413.jpg
hd-796944101940903,6,1.197199209,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-796944101940903.jpg
hd-793257836073148,14,0.23545392,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-793257836073148.jpg
hd-791572172961239,3,0.4947736543,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-791572172961239.jpg
hd-790055392972248,8,1.070042887,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-790055392972248.jpg
hd-789793989900194,0,0.4906795382,
hd-789715035654710,6,0.5084273321,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-789715035654710.jpg
hd-786610583313461,17,0.1284248087,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-786610583313461.jpg
hd-696006115320413,6,1.071986204,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-696006115320413.jpg
hd-695130362192250,6,0.3911038478,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-695130362192250.jpg
hd-694675672308301,17,0.744290568,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-694675672308301.jpg
hd-693988272279384,6,0.04452847739,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-693988272279384.jpg
hd-691857912087615,6,1.291926299,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-691857912087615.jpg
hd-691581235967071,17,0.3921072658,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-691581235967071.jpg
hd-691252805779835,6,1.040332838,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-691252805779835.jpg
hd-690670309134450,6,0.1410098285,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-690670309134450.jpg
hd-690541956158254,17,1.466037406,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-690541956158254.jpg
hd-689771035910864,6,1.355930007,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-689771035910864.jpg
hd-689599909618915,17,0.7851982347,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-689599909618915.jpg
hd-689363059404444,17,1.070108955,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-689363059404444.jpg
hd-688887926060399,6,0.5824732671,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-688887926060399.jpg
hd-687665956347322,17,1.157601485,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-687665956347322.jpg
hd-687024156350870,17,1.197379298,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-687024156350870.jpg
hd-686488653080244,6,1.211111704,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-686488653080244.jpg
hd-686083626588321,6,1.196601535,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-686083626588321.jpg
hd-684364333171304,17,1.671748012,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-684364333171304.jpg
hd-684264882912286,6,1.354882813,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-684264882912286.jpg
hd-6837957766319053,17,1.417042428,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-6837957766319053.jpg
hd-682791943270614,17,0.7545153421,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-682791943270614.jpg
hd-682596103528135,6,1.418460299,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-682596103528135.jpg
hd-680549530054789,6,0.4200534,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-680549530054789.jpg
hd-680540137074841,17,1.256930836,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-680540137074841.jpg
hd-680162593779089,17,0.4222648323,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-680162593779089.jpg
hd-679261516829908,6,1.152822162,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-679261516829908.jpg
hd-678133704039459,17,1.32076686,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-678133704039459.jpg
hd-676770877464110,17,1.084055441,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-676770877464110.jpg
hd-6764280623620361,26,0.7411026971,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-6764280623620361.jpg
